config_id,signal_type,entry_second_min,entry_second_max,threshold,duration_filter,total_bets,wins,losses,win_rate_pct,total_pnl,avg_bet_pnl,profit_factor,expected_value,sharpe_ratio,sortino_ratio,max_drawdown,std_dev_pnl,pct_profitable_assets,pct_profitable_durations,consistency_score,q1_pnl,q2_pnl,q3_pnl,q4_pnl,ranking_score,module,momentum_window_sec,velocity_threshold,eval_second,acceleration_enabled,acceleration_threshold,spike_threshold,spike_lookback_window,reversion_reversal_pct,min_reversion_seconds,exit_type,exit_profit_target_pct,exit_time_limit_sec,strategy_type,min_spread,max_spread,volatility_window_sec,volatility_threshold,volatility_direction,spread_expansion_threshold,spread_expansion_window,market_phase,early_cutoff_pct,late_start_pct,min_seconds_remaining,min_win_rate_pct,min_edge_pct,max_exposure_pct,total_signals,filtered_out,filtered_out_pct,strategy_name,combine_logic,has_vol_filter,has_time_filter
M4_0128,,,,,,166,72,94,43.37,15.0786,0.090835,1.4934,0.090835,0.1896,1.9154,3.7236,0.479025,100.0,50.0,98.42,7.794,3.0526,1.1918,3.0402,97.7,Module 4,,,30.0,,,,,,,,,,combined,0.05,0.5,10.0,0.05,high,0.0,0.0,,,,,,,,,,,,,,
M4_0140,,,,,,166,72,94,43.37,15.0786,0.090835,1.4934,0.090835,0.1896,1.9154,3.7236,0.479025,100.0,50.0,98.42,7.794,3.0526,1.1918,3.0402,97.7,Module 4,,,30.0,,,,,,,,,,combined,0.1,0.5,10.0,0.05,high,0.0,0.0,,,,,,,,,,,,,,
M4_0152,,,,,,166,72,94,43.37,15.0786,0.090835,1.4934,0.090835,0.1896,1.9154,3.7236,0.479025,100.0,50.0,98.42,7.794,3.0526,1.1918,3.0402,97.7,Module 4,,,30.0,,,,,,,,,,combined,0.15,0.5,10.0,0.05,high,0.0,0.0,,,,,,,,,,,,,,
M4_0007,,,,,,569,259,310,45.52,23.7646,0.041766,1.188,0.041766,0.0848,5.7338,9.2926,0.492406,75.0,100.0,96.58,1.1924,2.3276,10.2918,9.9528,96.61,Module 4,,,30.0,,,,,,,,,,spread_filter,0.02,0.2,0.0,0.0,none,0.0,0.0,,,,,,,,,,,,,,
M4_0012,,,,,,569,259,310,45.52,23.7646,0.041766,1.188,0.041766,0.0848,5.7338,9.2926,0.492406,75.0,100.0,96.58,1.1924,2.3276,10.2918,9.9528,96.61,Module 4,,,30.0,,,,,,,,,,spread_filter,0.05,0.2,0.0,0.0,none,0.0,0.0,,,,,,,,,,,,,,
M4_0016,,,,,,569,259,310,45.52,23.7646,0.041766,1.188,0.041766,0.0848,5.7338,9.2926,0.492406,75.0,100.0,96.58,1.1924,2.3276,10.2918,9.9528,96.61,Module 4,,,30.0,,,,,,,,,,spread_filter,0.1,0.2,0.0,0.0,none,0.0,0.0,,,,,,,,,,,,,,
M4_0020,,,,,,569,259,310,45.52,23.7646,0.041766,1.188,0.041766,0.0848,5.7338,9.2926,0.492406,75.0,100.0,96.58,1.1924,2.3276,10.2918,9.9528,96.61,Module 4,,,30.0,,,,,,,,,,spread_filter,0.15,0.2,0.0,0.0,none,0.0,0.0,,,,,,,,,,,,,,
M4_0002,,,,,,569,259,310,45.52,23.7646,0.041766,1.188,0.041766,0.0848,5.7338,9.2926,0.492406,75.0,100.0,96.58,1.1924,2.3276,10.2918,9.9528,96.61,Module 4,,,30.0,,,,,,,,,,spread_filter,0.0,0.2,0.0,0.0,none,0.0,0.0,,,,,,,,,,,,,,
M4_0042,,,,,,212,82,130,38.68,16.3174,0.076969,1.4384,0.076969,0.1657,0.9783,4.0936,0.464558,100.0,50.0,96.09,8.4258,4.7112,0.2034,2.977,96.34,Module 4,,,30.0,,,,,,,,,,volatility_filter,0.0,1.0,10.0,0.05,high,0.0,0.0,,,,,,,,,,,,,,
M2_0446,,,,,,382,180,202,47.12,11.1896,0.029292,1.1425,0.029292,0.0624,0.1849,11.1428,0.469598,75.0,100.0,98.4,2.057,3.8106,5.8748,-0.5528,96.31,Module 2,20.0,0.003,60.0,True,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0050,,,,,,491,222,269,45.21,18.7606,0.038209,1.1759,0.038209,0.0786,0.4704,7.12,0.485934,75.0,50.0,94.55,1.5106,8.697,6.0234,2.5296,96.26,Module 2,3.0,0.02,10.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2_0074,,,,,,1946,899,1047,46.2,28.4236,0.014606,1.0672,0.014606,0.0309,0.1067,28.857,0.472709,75.0,100.0,98.68,-3.9512,-10.0406,28.3264,14.089,95.41,Module 2,5.0,0.005,45.0,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
